# path	unsafe_op_in_unsafe_fn_warnings	policy	notes
# Generated from scripts/unsafe_op_report.sh on 2026-04-25 before moving the crate-level allow into module-level legacy allow entries.
rmath-rs/rmath/src/library/grid/grid.rs	1558	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/modules/lapack/lapack_impl.rs	1059	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/stats/fexact.rs	1036	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/graphics/plot.rs	820	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/stats/splines.rs	791	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/stats/optim.rs	711	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/utils/io.rs	668	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/modules/lapack/backend/rust_impl.rs	562	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/grdevices/colors.rs	561	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/grdevices/devpictex.rs	458	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/stats/fft.rs	452	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/grdevices/devps.rs	439	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/stats/starma.rs	429	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/parallel/fork.rs	418	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/grid/unit.rs	351	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/mainutils/graphics_ffi.rs	350	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/graphics/plot3d.rs	341	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/stats/distn.rs	328	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/stats/random.rs	308	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/grdevices/chull.rs	306	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/stats/loessc.rs	273	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/grdevices/devices.rs	272	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/grid/gpar.rs	271	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/grid/layout.rs	256	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/stats/sbart.rs	246	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/mainutils/essentials_basic.rs	242	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
